,datetime,Open,High,Low,Close,Volume,sp
240,1532523600,8195.1,8247.0,8195.0,8216.1,897.912,7374656.5
241,1532527200,8216.2,8225.1,8171.5,8215.6,840.3943,6895691.5
242,1532530800,8215.6,8221.4,8185.1,8205.1,843.277,6914634.0
243,1532534400,8205.1,8205.2,8073.0,8130.0,4680.239,37966650.0
244,1532538000,8130.0,8204.1,8090.0,8180.0,2348.547,19156758.0
245,1532541600,8180.0,8180.1,8114.0,8130.0,821.158,6686068.0
246,1532545200,8130.0,8140.0,8080.0,8080.0,761.4922,6173772.0
247,1532548800,8145.2744,8170.0,8145.2744,8167.3594,84.37062,688452.75
248,1532552400,8167.3755,8195.0,8137.0,8192.0,455.17438,3715424.2
249,1532556000,8192.3,8331.8,8192.3,8288.9,1836.9146,15179529.0
250,1532559600,8289.0,8329.8,8257.8,8266.9,457.1446,3787965.0
251,1532563200,8267.0,8286.8,8163.1,8178.4,1054.7507,8670040.0
252,1532566800,8175.6,8260.0,8175.6,8242.0,566.3548,4655102.5
253,1532570400,8240.3,8250.0,8211.5,8223.2,176.90546,1455376.0
254,1532574000,8223.1,8223.2,8173.3,8196.1,291.3143,2387890.8
255,1532577600,8196.1,8248.0,8174.9,8231.419,297.903,2446533.0
256,1532581200,8230.7,8250.0,8202.1,8231.2,328.03467,2699454.2
257,1532584800,8231.3,8245.1,8199.5,8199.6,341.36728,2803971.0
258,1532588400,8199.6,8275.9,8199.3,8268.7,681.90106,5611919.5
259,1532592000,8267.4,8308.0,8228.3,8245.8,859.54816,7115763.0
260,1532595600,8245.8,8277.0,8245.7,8255.5,273.33704,2257775.8
261,1532599200,8254.0,8289.816,8249.9,8276.0,419.98514,3471632.8
262,1532602800,8275.0,8323.1,8270.7,8291.6,836.9074,6946584.5
263,1532606400,8292.4,8292.5,8234.7,8262.5,1090.1812,9001475.0
264,1532610000,8262.6,8262.6,8187.9,8245.0,1620.1969,13315874.0
265,1532613600,8245.0,8247.0,8209.4,8229.0,578.7984,4760731.0
266,1532617200,8229.0,8242.4,8191.1,8240.1,697.9039,5731817.5
267,1532620800,8240.0,8250.0,8211.3,8211.4,699.6808,5759626.0
268,1532624400,8211.3,8219.9,8192.0,8213.5,463.5836,3804134.2
269,1532628000,8213.5,8256.2,8213.2,8219.8,451.4699,3716043.5
270,1532631600,8219.8,8243.4,8218.5,8243.4,196.07108,1613310.0
271,1532635200,8243.33,8295.7,8233.5,8274.5,570.8925,4721209.0
272,1532638800,8272.1,8310.0,8119.0,8158.5,3460.0166,28528764.0
273,1532642400,8158.5,8161.3,7930.0,7987.3,8121.878,65289132.0
274,1532646000,7987.3,8050.8,7927.0,7933.8,3907.2588,31154720.0
275,1532649600,7932.0,7960.1,7869.6,7940.0,2999.8547,23727238.0
276,1532653200,7945.6,7964.6,7901.0,7914.7,1227.0847,9713875.0
277,1532656800,7915.0,7936.4,7848.0,7898.2,1681.5569,13252368.0
278,1532660400,7898.3,7920.0,7875.0,7875.8706,398.9049,3152136.8
279,1532664000,7877.6,7908.7,7877.5,7889.1,677.4956,5352031.5
280,1532667600,7889.0,7951.6,7889.0,7940.9,1134.6854,8999528.0
281,1532671200,7941.0,7941.0,7916.5,7927.7,380.13715,3013961.2
282,1532674800,7927.6,7927.6,7893.2,7914.5,573.5996,4538558.0
283,1532678400,7914.5,7929.9,7892.0,7918.6,938.05963,7416642.0
284,1532682000,7918.6,7997.0,7918.0,7974.3,848.66797,6759569.5
285,1532685600,7974.4,7999.9,7956.1,7959.0,659.49915,5259916.0
286,1532689200,7959.1,7969.3,7935.0,7969.0,809.4467,6442319.5
287,1532692800,7969.0,7969.1,7911.8,7940.0,746.8542,5927633.5
288,1532696400,7940.0,7942.0,7833.0,7856.2,3083.0613,24289588.0
289,1532700000,7856.2354,7902.6,7815.085,7897.7,1860.257,14619006.0
290,1532703600,7897.8,7907.0,7841.0,7842.4,600.5907,4727144.0
291,1532707200,7842.4,8216.3,7841.0,8153.7,6722.4966,54400220.0
292,1532710800,8153.8,8236.9,8153.7,8185.8,2577.044,21104704.0
293,1532714400,8185.8,8186.1,8159.1,8175.0,581.0294,4749981.0
294,1532718000,8175.1,8291.0,8175.0,8266.2,1754.6782,14446472.0
295,1532721600,8266.1,8285.9,8206.7,8222.43,717.0498,5908062.0
296,1532725200,8222.456,8249.3,8219.9,8238.0,391.22232,3221841.2
297,1532728800,8238.069,8277.9,8225.9,8261.2,682.39355,5633486.0
298,1532732400,8263.6,8264.0,8231.962,8252.4,249.18672,2054665.5
299,1532736000,8252.4,8267.1,8121.2,8188.0,1879.1853,15351839.0
300,1532739600,8187.9,8214.2,8159.1,8176.4,713.8607,5845650.0
301,1532743200,8176.4,8200.0,8156.5,8177.7,230.43604,1884718.6
302,1532746800,8177.7,8194.3,8168.0,8168.2,245.8904,2011456.4
303,1532750400,8168.4,8180.2,8159.0,8169.8,308.01434,2513880.2
304,1532754000,8169.8,8227.2,8168.45,8218.7,598.1496,4902290.0
305,1532757600,8218.8,8240.5,8179.0,8183.2,280.55862,2303732.8
306,1532761200,8183.3,8196.4,8158.9,8196.4,237.56477,1942481.2
307,1532764800,8196.4,8212.0,8178.4,8200.0,140.71225,1153243.6
308,1532768400,8200.1,8218.8,8200.0,8208.6,163.02324,1338792.4
309,1532772000,8208.7,8211.0,8168.0,8194.5,229.22531,1876843.1
310,1532775600,8196.0,8216.5,8165.1,8177.6694,1406.4768,11519313.0
311,1532779200,8177.9,8227.1,8133.5,8182.5,2031.3702,16602832.0
312,1532782800,8182.6,8197.5,8174.1,8180.5,131.86784,1079429.0
313,1532786400,8180.4,8193.2,8160.0,8160.0,116.71991,954182.6
314,1532790000,8160.1,8171.0,8116.0,8151.6,897.60376,7308285.5
315,1532793600,8151.6,8151.7,8055.0,8120.1,1788.78,14476733.0
316,1532797200,8120.0,8189.0,8120.0,8186.5,665.63885,5434240.5
317,1532800800,8186.5,8231.1,8156.5,8187.0,1198.8844,9832233.0
318,1532804400,8186.9,8204.9,8159.2,8193.4,316.88486,2589715.8
319,1532808000,8193.4,8205.9,8193.4,8200.0,105.211426,862705.94
320,1532811600,8200.1,8203.1,8165.7,8175.8,192.4948,1576747.4
321,1532815200,8175.8,8186.0,8172.1,8176.0,72.274376,591117.3
322,1532818800,8175.0,8195.0,8168.8,8190.1,161.1336,1317767.2
323,1532822400,8190.1,8262.0,8179.2,8235.7,525.22485,4322062.0
324,1532826000,8235.6,8313.3,8222.08,8251.8,1471.3611,12172702.0
325,1532829600,8251.8,8275.0,8235.1,8268.6,779.56366,6435524.0
326,1532833200,8268.5,8292.0,8239.1,8239.8,422.7567,3495309.5
327,1532836800,8239.9,8250.7,8227.7,8235.0,151.73994,1249927.4
328,1532840400,8234.9,8235.0,8190.0,8207.6,359.3369,2952312.5
329,1532844000,8207.6,8241.6,8195.1,8217.9,183.46246,1508170.1
330,1532847600,8217.9,8219.0,8201.0,8209.3,94.16127,773249.0
331,1532851200,8209.2,8221.1,8179.3,8179.8,447.17444,3667978.0
332,1532854800,8179.8,8182.4,8135.0,8158.9,444.65683,3624658.8
333,1532858400,8158.9,8186.0,8150.0,8170.1,229.33203,1873763.1
334,1532862000,8170.1,8171.8,8140.8,8154.451,186.09981,1518293.9
335,1532865600,8154.8,8170.0,8123.0,8170.0,652.9532,5313931.0
336,1532869200,8170.0,8224.9,8159.5,8224.9,668.5221,5480116.5
337,1532872800,8215.2,8216.8,8187.2,8195.2,134.05473,1099478.6
338,1532876400,8195.3,8250.4,8187.835,8217.0,847.4478,6970427.5
339,1532880000,8217.1,8233.9,8199.4,8233.8,276.58932,2271425.8
340,1532883600,8233.8,8233.8,8173.0,8184.4,291.72552,2391898.8
341,1532887200,8183.8,8202.2,8183.8,8195.8,148.4182,1216081.8
342,1532890800,8195.8,8219.4,8195.7,8216.4,69.42159,569883.0
343,1532894400,8216.5,8223.9,8207.1,8218.1,122.51067,1006713.7
344,1532898000,8218.2,8223.4,8195.5,8197.7,128.9466,1058771.6
345,1532901600,8197.7,8212.5,8172.0,8193.0,142.93904,1170993.9
346,1532905200,8193.0,8206.7,8186.0,8191.4,187.62143,1537752.9
347,1532908800,8191.4,8276.5,8190.9,8218.5,931.28723,7674573.0
348,1532912400,8218.6,8222.0,8065.1,8160.5,2372.4028,19264198.0
349,1532916000,8160.5,8301.729,8144.7,8217.8,1371.6365,11311835.0
350,1532919600,8217.8,8226.0,8190.2,8197.9,211.77309,1739069.0
351,1532923200,8198.0,8235.6,8183.0,8192.2,492.92334,4049422.5
352,1532926800,8192.2,8195.0,8164.9233,8178.9,231.87682,1896551.1
353,1532930400,8178.9,8191.0,8177.8,8183.5464,89.97094,736230.1
354,1532934000,8183.6,8185.6636,8122.2,8142.6914,515.0433,4198266.5
355,1532937600,8142.8,8172.6,8122.0,8164.9,657.49426,5357944.5
356,1532941200,8165.0,8190.2,8155.0,8170.2,481.16583,3930932.0
357,1532944800,8170.6,8178.1,8151.3,8172.1,277.27545,2264464.5
